month,monthly_revenue,running_total,prev_month_revenue,growth_pct
2023-01,210598.68,210598.68,NULL,NULL
2023-02,187728.43,398327.11,210598.68,-10.86
2023-03,242513.75,640840.86,187728.43,29.18
2023-04,282084.61,922925.47,242513.75,16.32
2023-05,215682.74,1138608.21,282084.61,-23.54
2023-06,325742.14,1464350.35,215682.74,51.03
2023-07,286471.95,1750822.3,325742.14,-12.06
2023-08,276717.64,2027539.94,286471.95,-3.4
2023-09,233307.31,2260847.25,276717.64,-15.69
2023-10,298688.4,2559535.65,233307.31,28.02
2023-11,217946.66,2777482.31,298688.4,-27.03
2023-12,240953.01,3018435.32,217946.66,10.56
2024-01,242637.53,3261072.85,240953.01,0.7
2024-02,307738.28,3568811.13,242637.53,26.83
2024-03,238808.39,3807619.52,307738.28,-22.4
2024-04,205996.27,4013615.79,238808.39,-13.74
2024-05,182918.81,4196534.6,205996.27,-11.2
2024-06,270599.04,4467133.64,182918.81,47.93
2024-07,284518.71,4751652.35,270599.04,5.14
2024-08,276430.33,5028082.68,284518.71,-2.84
2024-09,219006.08,5247088.76,276430.33,-20.77
2024-10,305412.03,5552500.79,219006.08,39.45
2024-11,321958.91,5874459.7,305412.03,5.42
2024-12,255080.42,6129540.12,321958.91,-20.77
2025-01,258009.94,6387550.06,255080.42,1.15
2025-02,254844.9,6642394.96,258009.94,-1.23
2025-03,274428.02,6916822.98,254844.9,7.68
2025-04,195606.71,7112429.69,274428.02,-28.72
2025-05,244336.34,7356766.03,195606.71,24.91
2025-06,281447.98,7638214.01,244336.34,15.19
2025-07,252152.6,7890366.61,281447.98,-10.41
2025-08,236259.9,8126626.51,252152.6,-6.3
2025-09,269306.25,8395932.76,236259.9,13.99
2025-10,219254.56,8615187.32,269306.25,-18.59
2025-11,240085.09,8855272.41,219254.56,9.5
2025-12,301673.41,9156945.82,240085.09,25.65
